SEQ,BANK NAME,CUST_ID,TITLE,NAME,SURNAME,LOAN PRODUCT,ACCT_NO,CREDIT LIMIT,INT RATE,BALANCE,E_MAIL,MOBILE,ADDRESS,POST_CODE
17,BANK,2049003,นาง,โชคชัย,หวงสุวรรณ,Housing Loan,2.12015E+11,7450000,1.531,4084236.72,opas@mcdonald.com,089-347-4045,บมจ.ธนาคารไทยพาณิชย์ 9 ชั้น 4 โซน C ถ.รัชดาภิเษก แขวงลาดยาว เขตจตุจักร กรุงเทพฯ (ฝ่ายธุรกิจ 2) 10900,10900
113,BANK,2049154,น.ส.,ณฐศร,บุญเกิด,Housing Loan,2.12015E+11,8150000,3.32,788106.55,prathum@jahun.com,080-484-4057,99/260 ถ.นนทรี แขวงช่องนนทรี เขตยานนาวา กทม.  10120,10120
357,BANK,2049568,นาง,วรภพ,จิรศานต์ชัย,Housing Loan,2.12015E+11,5610000,8.356,4647572.24,sayyod@jahun.com,081-616-0302,9/150 หมู่ 6 ซอยพหลโยธิน 48 ถนนพหลโยธิน แขวงคลองถนน เขตบางเขน กรุงเทพฯ 10220,10220
718,BANK,2050261,นาย,สิริกร,จิตตรักษ์,Housing Loan,3.22015E+11,3780000,8.902,2468146.89,tidarat@jahun.com,085-745-0344,200-202 ถ.ศรีนรินทร์ แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ 10240,10240
1718,BANK,2052030,น.ส.,ยุทธภูมิ,กลิ่นเขียว,Housing Loan,3.32015E+11,3290000,4.979,547880.47,pasamon@usaonline.org,080-075-8261,146/45 หมู่ 5 ต.สำโรงเหนือ อ.เมือง จ.สมุทรปราการ  10270,10270
2342,BANK,2053072,นาย,ญาณิศา,เทพี,Housing Loan,3.42015E+11,6240000,7.564,5489429.57,triamjit@mcdonald.com,084-535-1168,213/212 หมู่ 16 ถนนพัฒนาการ แขวงสวนหลวง เขตประเวศ กรุงเทพฯ 10250,10250
4271,BANK,2056509,มรว.,ธัญสิริ,ธนูศิลป์,Housing Loan,3.72015E+11,3750000,9.894,2626694.55,phanhilai@seveneleven.net,086-692-7863,888/63 ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ 10330,10330
6052,BANK,2059665,นาง,ณิชานาฎ,สมบูรณ์,Housing Loan,4.02015E+11,2560000,5.684,942303.55,wasun@tbcertain.net,087-180-9690,77/460 หมู่ 1 ดวงแก้ว ซ.1/3 ถนนติวานนท์ ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120,11120
6303,BANK,2060115,น.ส.,ธีระภัทร์,พนมธีรเกียรติ,Housing Loan,4.02015E+11,5070000,5.213,2712899.76,kwansuda@mcdonald.com,083-760-5377,41/58 ม.นิรันดร์ศิริ ถ.สามวา แขวงมีนบุรี เขตมีนบุรี กรุงเทพฯ 10510,10510
7673,BANK,2062489,ด.ช.,หทัยทิพย์,คล่องนาวี,Housing Loan,4.22015E+11,4850000,4.278,3126228.77,pongsak@mcdonald.com,089-103-7910,69/78 ม.ลภาวัน โครงการ 10 ถ.คันแอน ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120,11120
